Year,Month,Day,Weekday,Start Time,Event Name,Venue
2012,03,18,日,14:30,ゆいかおり5thシングル「君のYELL」キャンペーンイベント 秋葉原スクエアビル 2回目,秋葉原ハンドレッドスクエア倶楽部
2012,03,18,日,12:00,ゆいかおり5thシングル「君のYELL」キャンペーンイベント 秋葉原スクエアビル 1回目,秋葉原ハンドレッドスクエア倶楽部
2012,03,11,日,16:30,ゆいかおり5thシングル「君のYELL」キャンペーンイベント アニメイト横浜店 2回目,アニメイト横浜(旧店舗/移転済)
2012,03,11,日,13:30,ゆいかおり5thシングル「君のYELL」キャンペーンイベント アニメイト横浜店 1回目,アニメイト横浜(旧店舗/移転済)
2012,03,08,木,19:00,初音ミクライブパーティー2012 よる（ミクパ♪）,TOKYO DOME CITY HALL(東京ドームシティホール)
2012,03,08,木,14:00,初音ミクライブパーティー2012 ひる（ミクパ♪）,TOKYO DOME CITY HALL(東京ドームシティホール)
2012,03,04,日,13:30,ゆいかおり5thシングル「君のYELL」キャンペーンイベント ラオックスアソビットシティ 1回目,[2代目]アソビットシティ(閉店)
2012,03,04,日,16:00,ゆいかおり5thシングル「君のYELL」キャンペーンイベント ラオックスアソビットシティ 2回目,[2代目]アソビットシティ(閉店)
2012,02,12,日,16:10,ワンダーフェスティバル2012[冬] WONDERFUL HOBBY LIFE FOR YOU!! 15 「ゆいかおりスペシャルミニライブ！」,幕張メッセ 国際展示場ホール
2012,01,09,月,19:00,ハピスタ新年会2012,芝浦Studio Cube 326(閉店)
2011,12,28,水,17:00,Brand-new Style volume zero ～はじめまして!StylipSです!!～,池袋サンシャインシティ アルパB1F 噴水広場
2011,11,27,日,18:00,ゆいかおり1st LIVE「PUPPY LOVE!!」  NIGHT,原宿アストロホール(閉店)
2011,11,27,日,14:00,ゆいかおり1st LIVE「PUPPY LOVE!!」  DAY,原宿アストロホール(閉店)
2011,09,25,日,13:30,ゆいかおり1stアルバム「Puppy」キャンペーンイベント ゲーマーズなんば店,ゲーマーズなんば店
2011,09,15,木,Start time not available,下北FM「DJ Tomoaki’s Radio Show!」公開放送 2011/09/15,下北沢SHOT BAR VERTEX
2011,09,11,日,13:30,ゆいかおり1stアルバム「Puppy」キャンペーンイベント コミックとらのあな秋葉原店B,とらのあな秋葉原店B(閉店)
2011,08,21,日,17:00,ゆいかおりBIRTHDAYイベント featuring唯ちゃん,アニメイト横浜(旧店舗/移転済)
2011,08,21,日,14:00,ゆいかおりBIRTHDAYイベント featuring夏織ちゃん,アニメイト横浜(旧店舗/移転済)
2011,07,18,月,15:30,ゆいかおり初主演舞台「Q-あなたはだぁれ？-」 7月18日公演【千秋楽】,シアターグリーン BOX in BOX THEATER
2011,07,18,月,12:00,ゆいかおり初主演舞台「Q-あなたはだぁれ？-」 7月18日公演【1回目】,シアターグリーン BOX in BOX THEATER
2011,07,17,日,12:00,ゆいかおり初主演舞台「Q-あなたはだぁれ？-」 7月17日公演【1回目】,シアターグリーン BOX in BOX THEATER
2011,07,17,日,15:30,ゆいかおり初主演舞台「Q-あなたはだぁれ？-」 7月17日公演【2回目】,シアターグリーン BOX in BOX THEATER
2011,07,17,日,18:30,ゆいかおり初主演舞台「Q-あなたはだぁれ？-」 7月17日公演【3回目】,シアターグリーン BOX in BOX THEATER
